iter	Logloss
0	0.6896673594
1	0.6863865305
2	0.6834276903
3	0.6810288911
4	0.6786277659
5	0.676438708
6	0.6744062249
7	0.6725487256
8	0.6708557762
9	0.6692750742
10	0.6678337345
11	0.6664485517
12	0.6651871801
13	0.6640215079
14	0.6628565668
15	0.661691825
16	0.6606152064
17	0.6597472658
18	0.6587956546
19	0.658040626
20	0.6572968952
21	0.6566263347
22	0.6559710594
23	0.6553249554
24	0.6548063177
25	0.6543605178
26	0.6537865871
27	0.6532313975
28	0.6527764265
29	0.6523816663
30	0.651858443
31	0.6514930573
32	0.6511418935
33	0.6507040687
34	0.6503985615
35	0.6498534735
36	0.6495473683
37	0.6491662985
38	0.6487662217
39	0.6484694206
40	0.6482279124
41	0.6478433204
42	0.6476086574
43	0.6473632947
44	0.6471017163
45	0.6468567523
46	0.6466713347
47	0.6464989428
48	0.6462880718
49	0.6461077714
50	0.6458397465
51	0.6456804469
52	0.6455404864
53	0.6453349985
54	0.6451930444
55	0.6449602422
56	0.6446829132
57	0.6445551146
58	0.6444217336
59	0.6442319961
60	0.6440352807
61	0.6438234792
62	0.6437344256
63	0.6436260991
64	0.6435173075
65	0.6433415263
66	0.6432362569
67	0.6430683842
68	0.6429935525
69	0.6428998468
70	0.6427702539
71	0.642664187
72	0.6425714117
73	0.6424252043
74	0.6423293055
75	0.6421789111
76	0.6420150259
77	0.6418921452
78	0.6418286114
79	0.6417113796
80	0.6416186707
81	0.6415498203
82	0.641468941
83	0.6413659312
84	0.6412876438
85	0.6412186604
86	0.6411026913
87	0.6410467338
88	0.6409925041
89	0.640908169
90	0.6408459643
91	0.6407914688
92	0.6407200265
93	0.6406612113
94	0.6405833226
95	0.6405415205
96	0.6404905473
97	0.6403886673
98	0.6403363649
99	0.6402586756
100	0.6402179368
101	0.6401374563
102	0.6400517255
103	0.6400053379
104	0.6399638681
105	0.63992612
106	0.6398895682
107	0.6398480984
108	0.6397365156
109	0.6396721843
110	0.6396302493
111	0.6395984824
112	0.6395212583
113	0.6394300116
114	0.6393810321
115	0.6393587022
116	0.6393157704
117	0.6392798831
118	0.6392362867
119	0.6392116308
120	0.6391661735
121	0.6391304856
122	0.6391028391
123	0.639077851
124	0.6389963735
125	0.6389382893
126	0.6389069211
127	0.6388834615
128	0.6388599354
129	0.6388279691
130	0.6388069019
131	0.6387338647
132	0.6386941228
133	0.638669334
134	0.6386303232
135	0.6385929739
136	0.6385194049
137	0.6384796631
138	0.6384532793
139	0.6384265632
140	0.6383837643
141	0.6383496714
142	0.6383246832
143	0.6382880648
144	0.6382647381
145	0.6382482565
146	0.6382165561
147	0.6382002075
148	0.6381813334
149	0.6381460442
150	0.6381211225
151	0.6380859663
152	0.6380624402
153	0.6380129955
154	0.6379735194
155	0.6379440786
156	0.6379164321
157	0.6378978238
158	0.6378909787
159	0.637848645
160	0.6378263816
161	0.637802789
162	0.6377702911
163	0.6377432427
164	0.6377245016
165	0.6376938644
166	0.6376735948
167	0.6376548536
168	0.6376296661
169	0.637610061
170	0.6375990954
171	0.6375903894
172	0.6375635404
173	0.6375544357
174	0.6375303115
175	0.6375117697
176	0.637476547
177	0.6374602648
178	0.6374439161
179	0.6374286308
180	0.6373973956
181	0.6373769265
182	0.6373537327
183	0.6373393114
184	0.6373107344
185	0.6372962466
186	0.63728455
187	0.6372721888
188	0.6372416182
189	0.6372187567
190	0.6371965597
191	0.63717948
192	0.6371622674
193	0.6371540266
194	0.6371432604
195	0.637127377
196	0.6371011261
197	0.6370819862
198	0.6370632451
199	0.6370538081
