iter	Passed	Remaining
0	643	127964
1	1193	118202
2	1634	107360
3	2326	113983
4	3161	123306
5	4337	140243
6	5125	141318
7	5477	131457
8	6201	131607
9	7021	133409
10	7694	132210
11	8309	130189
12	9120	131201
13	9785	130009
14	10387	128106
15	10910	125472
16	11412	122850
17	11995	121291
18	12561	119664
19	13249	119246
20	13571	115681
21	13825	111857
22	14137	108795
23	14520	106481
24	15082	105576
25	15371	102868
26	15659	100335
27	16358	100489
28	16961	100015
29	17519	99279
30	18273	99621
31	18699	98174
32	19338	97863
33	19996	97631
34	20382	96089
35	21264	96871
36	21864	96323
37	22539	96088
38	23381	96525
39	24325	97300
40	25360	98347
41	26521	99770
42	27234	99439
43	28069	99520
44	28831	99308
45	29535	98878
46	30317	98691
47	30852	97699
48	31608	97407
49	32398	97196
50	33104	96716
51	33934	96581
52	34487	95653
53	35078	94840
54	35966	94820
55	36823	94688
56	37770	94758
57	38519	94306
58	39449	94276
59	40406	94281
60	41256	94009
61	42187	93900
62	42624	92690
63	43450	92331
64	44233	91869
65	45096	91558
66	45708	90735
67	46634	90525
68	47289	89781
69	48048	89232
70	48892	88832
71	49500	88001
72	50267	87452
73	51042	86909
74	51453	85756
75	52523	85696
76	53272	85097
77	53709	84007
78	54363	83266
79	55073	82609
80	55923	82159
81	56637	81502
82	57626	81232
83	58548	80852
84	59338	80282
85	60087	79650
86	60765	78925
87	61773	78620
88	62929	78484
89	64087	78329
90	65011	77871
91	65878	77335
92	66505	76516
93	66862	75398
94	67121	74186
95	67878	73535
96	68534	72774
97	69063	71882
98	69478	70881
99	69947	69947
100	70336	68944
101	70840	68062
102	71883	67695
103	72932	67322
104	74067	67013
105	74846	66373
106	75776	65861
107	76638	65284
108	77120	64385
109	77521	63426
110	78268	62755
111	78612	61767
112	78988	60814
113	79351	59861
114	79697	58906
115	80142	58034
116	80541	57135
117	81099	56357
118	81961	55788
119	83071	55380
120	84165	54951
121	84762	54192
122	85412	53469
123	85980	52697
124	86459	51875
125	86827	50993
126	87253	50153
127	87790	49382
128	88883	48920
129	89759	48332
130	90392	47611
131	90636	46691
132	91467	46077
133	91911	45269
134	92490	44532
135	93149	43835
136	93833	43149
137	94335	42382
138	94970	41677
139	95182	40792
140	96186	40248
141	97378	39774
142	97823	38992
143	98546	38323
144	98807	37478
145	99618	36845
146	99973	36045
147	100368	35264
148	100749	34484
149	101167	33722
150	101576	32961
151	101949	32194
152	102304	31426
153	102926	30744
154	103387	30015
155	103844	29289
156	104142	28523
157	104497	27777
158	104931	27057
159	105119	26279
160	105559	25570
161	105884	24837
162	106265	24121
163	106665	23414
164	106811	22657
165	107297	21976
166	107642	21270
167	107970	20565
168	108384	19881
169	108572	19159
170	109037	18491
171	109441	17816
172	109882	17149
173	110296	16481
174	110745	15820
175	111576	15214
176	111768	14523
177	112185	13865
178	112593	13209
179	113017	12557
180	113500	11914
181	113773	11252
182	114262	10614
183	114405	9948
184	114808	9308
185	115178	8669
186	115635	8038
187	115864	7395
188	116219	6764
189	116370	6124
190	116705	5499
191	116884	4870
192	117111	4247
193	117332	3628
194	117576	3014
195	118058	2409
196	118363	1802
197	118587	1197
198	119039	598
199	119233	0
